velocity,force,temp,Adh,Ff
65,76,25,13.7,3.421476794
412,36,25,13.7,3.532765087
206,91,26,13.6,3.880678863
321,113,26,13.6,3.535369023
428,77,26,13.6,4.810897739
451,125,26,13.6,5.032987845
58,27,27,14.2,4.767702638
220,136,28,14.4,6.968726689
283,36,28,14.4,6.520868732
74,130,29,14.6,10.77401852
168,54,29,14.6,7.163047058
176,21,30,14.2,4.911305274
290,72,32,12.1,7.972188854
358,138,32,12.1,9.878540366
55,78,36,7.86,10.55730691
174,108,38,5.98,11.35534773
438,32,38,5.98,8.103139856
452,114,39,5.37,12.66754561
418,74,40,4.53,8.816880342
291,27,42,3.67,3.401935679
297,103,42,3.67,13.25497338
182,66,44,3.22,8.687863062
59,32,45,2.88,5.136207931
425,135,45,2.88,12.63715802
61,107,46,2.19,14.40838933
253,131,50,5.15,6.601234856
459,86,50,5.15,8.21065029
117,134,51,5.56,18.18223683
179,29,51,5.56,6.388718938
311,66,51,5.56,9.285214681
356,103,55,5.04,10.79453023
443,22,56,4.96,3.907351328
325,34,57,4.77,3.752023888
71,72,58,4.61,7.441197247
440,55,58,4.61,6.429338688
419,134,59,4.57,11.19879456
215,86,60,4.44,7.148257765
442,105,65,3.94,9.017991147
56,118,66,3.79,8.258621706
79,30,67,3.41,4.513714984
200,137,69,3.22,10.31650069
310,128,69,3.22,10.4318323
234,33,71,3.05,3.533447664
310,77,72,2.92,6.257505045
188,104,73,2.88,7.041941672
104,69,74,2.91,5.5106907
401,29,74,2.91,3.238429822
442,77,74,2.91,5.882070459
431,125,75,2.72,8.84082843
81,137,76,2.72,8.517011184
