429,24,111.8,0.742091
237,27,138,3.87084
40,27,104,2.05049
57,29,107,2.23995
48,32,168.9,4.40051
430,39,99.3,1.73988
297,42,129.6,6.13404
492,45,162.6,9.80301
84,51,125.5,6.17609
317,52,184.8,12.3506
216,61,80.9,5.26727
68,68,142.39,7.88678
476,73,121.02,7.29624
323,76,108.93,7.22089
458,77,154.05,6.97162
429,24,115.448,0.77177464
237,27,130.89,4.064382
40,27,101.63,2.2350341
57,29,103.84,2.4415455
48,32,170.258,3.8284437
430,39,94.985,1.6180884
297,42,126.12,6.8087844
492,45,163.246,10.0971003
84,51,122.325,6.4231336
317,52,182.112,11.11554
216,61,80.9,5.6359789
68,68,142.1683,8.9909292
476,73,122.1024,7.661052
323,76,108.7821,6.3543832
458,77,153.6855,7.2504848
429,24,117.88,0.65304008
237,27,138.79,4.3353408
40,27,100.05,2.2145292
57,29,103.05,2.195151
48,32,175.011,4.9285712
430,39,96.711,1.9312668
297,42,126.12,5.213934
492,45,167.122,9.9010401
84,51,119.785,6.8554599
317,52,185.696,10.49801
216,61,83.771,4.4771795
68,68,141.7988,8.5965902
476,73,121.2906,6.4206912
323,76,108.6342,8.1596057
458,77,154.212,8.017363
429,24,106.328,0.63819826
237,27,146.69,4.451466
40,27,112.69,1.845441
57,29,105.42,1.9487565
48,32,175.011,4.3124998
430,39,108.793,1.4962968
297,42,126.12,5.7046572
492,45,164.538,10.2931605
84,51,129.31,6.793699
317,52,181.216,13.091636
216,61,78.029,5.3726154
68,68,142.9073,8.1233834
476,73,120.569,6.6395784
323,76,109.0779,7.7985612
458,77,154.05,6.5533228
429,24,114.232,0.77177464
237,27,141.16,3.87084
40,27,108.74,1.7839263
57,29,112.53,2.508744
48,32,169.579,3.8284437
430,39,101.026,1.9312668
297,42,127.512,5.8886784
492,45,160.016,10.8813411
84,51,119.785,5.4349592
317,52,189.728,12.103588
216,61,84.409,5.1092519
68,68,142.3161,8.3599868
476,73,121.3808,7.5151272
323,76,109.423,6.4265921
458,77,153.9285,7.0413362
